,month,metric_total,topic_id,metric
13,2020-02-01,300.0,2,total_enrollments
14,2020-03-01,1188.0,2,total_enrollments
15,2020-04-01,1086.0,2,total_enrollments
16,2020-05-01,1231.0,2,total_enrollments
17,2020-06-01,2388.0,2,total_enrollments
18,2020-07-01,1948.0,2,total_enrollments
19,2020-08-01,1448.0,2,total_enrollments
20,2020-09-01,1088.0,2,total_enrollments
21,2020-10-01,1089.0,2,total_enrollments
22,2020-11-01,1075.0,2,total_enrollments
23,2020-12-01,76.0,2,total_enrollments
24,,0.0,2,total_enrollments
0,2019_01_01,125.0,2,new_buyers
1,2019_02_01,139.0,2,new_buyers
2,2019_03_01,198.0,2,new_buyers
3,2019_04_01,173.0,2,new_buyers
4,2019_05_01,79.0,2,new_buyers
5,2019_06_01,38.0,2,new_buyers
6,2019_07_01,79.0,2,new_buyers
7,2019_08_01,157.0,2,new_buyers
8,2019_09_01,152.0,2,new_buyers
9,2019_10_01,159.0,2,new_buyers
10,2019_11_01,123.0,2,new_buyers
11,2019_12_01,129.0,2,new_buyers
12,2020_01_01,322.0,2,new_buyers
13,2020_02_01,247.0,2,new_buyers
14,2020_03_01,939.0,2,new_buyers
15,2020_04_01,887.0,2,new_buyers
16,2020_05_01,1039.0,2,new_buyers
17,2020_06_01,1921.0,2,new_buyers
18,2020_07_01,1553.0,2,new_buyers
19,2020_08_01,1157.0,2,new_buyers
20,2020_09_01,896.0,2,new_buyers
21,2020_10_01,857.0,2,new_buyers
22,2020_11_01,838.0,2,new_buyers
23,2020_12_01,71.0,2,new_buyers
24,,0.0,2,new_buyers
0,2019_01_01,125.0,2,total_buyers
1,2019_02_01,139.0,2,total_buyers
2,2019_03_01,198.0,2,total_buyers
3,2019_04_01,173.0,2,total_buyers
4,2019_05_01,79.0,2,total_buyers
5,2019_06_01,38.0,2,total_buyers
6,2019_07_01,79.0,2,total_buyers
7,2019_08_01,157.0,2,total_buyers
8,2019_09_01,152.0,2,total_buyers
9,2019_10_01,159.0,2,total_buyers
10,2019_11_01,123.0,2,total_buyers
11,2019_12_01,129.0,2,total_buyers
12,2020_01_01,322.0,2,total_buyers
13,2020_02_01,247.0,2,total_buyers
14,2020_03_01,939.0,2,total_buyers
15,2020_04_01,887.0,2,total_buyers
16,2020_05_01,1039.0,2,total_buyers
17,2020_06_01,1930.0,2,total_buyers
18,2020_07_01,1603.0,2,total_buyers
19,2020_08_01,1197.0,2,total_buyers
20,2020_09_01,940.0,2,total_buyers
21,2020_10_01,907.0,2,total_buyers
22,2020_11_01,928.0,2,total_buyers
23,2020_12_01,70.0,2,total_buyers
24,,801.0,2,total_buyers
0,2019_01_01,7867.0,2,bookings
1,2019_02_01,8541.0,2,bookings
2,2019_03_01,12988.0,2,bookings
3,2019_04_01,10719.0,2,bookings
4,2019_05_01,4671.0,2,bookings
5,2019_06_01,1640.0,2,bookings
6,2019_07_01,4881.0,2,bookings
7,2019_08_01,10898.0,2,bookings
8,2019_09_01,11330.0,2,bookings
9,2019_10_01,11887.0,2,bookings
10,2019_11_01,8250.0,2,bookings
11,2019_12_01,9884.0,2,bookings
12,2020_01_01,25171.0,2,bookings
13,2020_02_01,18160.0,2,bookings
14,2020_03_01,56613.0,2,bookings
15,2020_04_01,55400.0,2,bookings
16,2020_05_01,69298.0,2,bookings
17,2020_06_01,146185.0,2,bookings
18,2020_07_01,94372.0,2,bookings
19,2020_08_01,71287.5,2,bookings
20,2020_09_01,59155.0,2,bookings
21,2020_10_01,58037.0,2,bookings
22,2020_11_01,53796.25,2,bookings
23,2020_12_01,3533.0,2,bookings
24,,,2,bookings
0,2019_01_01,4.0,2,activities_created
1,2019_02_01,5.0,2,activities_created
2,2019_03_01,4.0,2,activities_created
3,2019_04_01,6.0,2,activities_created
